"date","I"
"01/01/2021",10
"01/02/2021",2
"01/03/2021",3
"01/04/2021",3
"01/05/2021",3
"01/06/2021",3
"01/07/2021",3
"01/08/2021",4
"01/09/2021",4
"01/10/2021",4
"01/11/2021",4
"01/12/2021",4
"01/13/2021",4
"01/14/2021",5
"01/15/2021",5
"01/16/2021",5
"01/17/2021",5
"01/18/2021",5
"01/19/2021",6
"01/20/2021",6
"01/21/2021",6
"01/22/2021",6
"01/23/2021",7
"01/24/2021",7
"01/25/2021",7
"01/26/2021",7
"01/27/2021",8
"01/28/2021",8
"01/29/2021",8
"01/30/2021",9
"01/31/2021",9
"02/01/2021",9
"02/02/2021",10
"02/03/2021",10
"02/04/2021",11
"02/05/2021",11
"02/06/2021",12
"02/07/2021",12
"02/08/2021",13
"02/09/2021",13
"02/10/2021",14
"02/11/2021",26
"02/12/2021",31
"02/13/2021",39
"02/14/2021",48
"02/15/2021",60
"02/16/2021",76
"02/17/2021",34
"02/18/2021",36
"02/19/2021",35
"02/20/2021",34
"02/21/2021",32
"02/22/2021",30
"02/23/2021",29
"02/24/2021",27
"02/25/2021",26
"02/26/2021",24
"02/27/2021",23
"02/28/2021",22
"03/01/2021",21
"03/02/2021",19
"03/03/2021",18
"03/04/2021",17
"03/05/2021",16
"03/06/2021",15
"03/07/2021",15
"03/08/2021",14
"03/09/2021",13
"03/10/2021",12
"03/11/2021",12
"03/12/2021",11
"03/13/2021",10
"03/14/2021",10
